Timestamp,Reading,Inserting,Updating,Deleting,1 Simul. Reader,50 Simul. Reader,100 Simul. Reader,1 Simul. Task,50 Simul. Task,100 Simul. Task,1 Simul. Transaction,50 Simul. Transaction,100 Simul. Transaction
75.2476,8.62e-05,8.34e-05,0.0001282,6.06e-05,4.92e-05,0.0032502,0.0066848,5.94e-05,0.0028492,0.0059664,0.0007846,0.034575,0.0709526
75.9505,9.74e-05,7.7e-05,0.0001176,4.9e-05,5.4e-05,0.003464,0.0067186,7.64e-05,0.0028126,0.0049148,0.000732,0.0355932,0.0855206
76.7686,8.66e-05,7.44e-05,0.000135,6.44e-05,6.12e-05,0.0036114,0.0076636,7.86e-05,0.003052,0.0056032,0.0008066,0.0540292,0.0879358
77.63,0.0001188,0.000104,0.0001586,6.94e-05,7.62e-05,0.0040686,0.0072728,8e-05,0.0032172,0.005584,0.000802,0.0378396,0.112339
78.2382,7.2e-05,6.16e-05,0.0001298,4.92e-05,4.64e-05,0.0034034,0.0062544,5.82e-05,0.002731,0.0062016,0.0007782,0.0347794,0.0666926
78.9663,7.7e-05,6.72e-05,0.0001168,4.08e-05,4.38e-05,0.0030456,0.0061824,7.56e-05,0.0032114,0.0049374,0.0008438,0.0388634,0.087753
79.6356,7.26e-05,6.22e-05,0.0001164,4.42e-05,4.48e-05,0.0031568,0.0064412,5.72e-05,0.0029618,0.0060584,0.0007632,0.0351578,0.078531
80.6855,0.0001748,0.0001424,0.0002314,6.22e-05,6.76e-05,0.0055302,0.011274,6.8e-05,0.0037546,0.0084148,0.0008962,0.0627362,0.116172
81.299,0.0001094,0.0001004,0.0001376,4.14e-05,5.32e-05,0.004182,0.0064864,5.92e-05,0.0025844,0.0049934,0.0006916,0.0345414,0.0683476
81.9781,7.26e-05,7.24e-05,0.0001106,5.14e-05,4.92e-05,0.0031136,0.0062916,6.38e-05,0.0027216,0.005057,0.0007408,0.045939,0.0711928
82.6886,8.24e-05,7.12e-05,0.0001188,4.22e-05,4.76e-05,0.0033296,0.0064436,7.18e-05,0.0029058,0.0063082,0.0008358,0.036436,0.0850502
83.2912,8.1e-05,7.88e-05,0.0001142,4.46e-05,5.2e-05,0.00333,0.0062364,6.92e-05,0.0027862,0.0051424,0.0007392,0.034504,0.0669974
84.1526,7.12e-05,6.3e-05,0.0001056,4.1e-05,4.42e-05,0.0032172,0.0063106,6.54e-05,0.0027358,0.0049336,0.0007554,0.0502222,0.103337
85.0665,7.1e-05,7.54e-05,0.0001254,4.66e-05,4.58e-05,0.0030582,0.0060562,7.82e-05,0.0035062,0.007146,0.0008154,0.0497,0.111686
85.9419,0.0001188,0.0001248,0.000148,7.4e-05,9.26e-05,0.0070378,0.0106996,9.12e-05,0.0045556,0.0079292,0.0010914,0.0479574,0.0947136
86.9006,0.0001086,8.44e-05,0.0001434,5.2e-05,6.04e-05,0.0055436,0.0111238,0.0001162,0.0050536,0.0112578,0.0013776,0.0605532,0.0957886
87.992,7.58e-05,6.72e-05,0.00011,4.36e-05,5.18e-05,0.005863,0.0116086,0.0001328,0.0047334,0.0080964,0.0011396,0.0868558,0.0990616
88.7,8.32e-05,7.64e-05,0.0001428,5.38e-05,5.24e-05,0.0034014,0.0067418,7.06e-05,0.0027902,0.005714,0.000823,0.038865,0.0824036
89.428,0.0001014,9.46e-05,0.0001342,5.9e-05,4.94e-05,0.0034836,0.0065796,8.7e-05,0.0031394,0.005447,0.000792,0.0528992,0.072298
90.2491,6.96e-05,7.88e-05,0.0001312,4.24e-05,4.58e-05,0.003661,0.0070426,6.54e-05,0.0028242,0.0051372,0.0007716,0.036719,0.107248
91.0837,7.9e-05,8.46e-05,0.0001396,5.52e-05,5.92e-05,0.0063316,0.01411,0.0001402,0.0052664,0.0103376,0.0011636,0.0530238,0.0753472
91.8586,6.9e-05,6.92e-05,0.0001148,5.14e-05,4.44e-05,0.0032266,0.006243,8.3e-05,0.0028594,0.005253,0.0007336,0.0353194,0.100496
92.5552,0.0001168,0.0001122,0.0001478,7.34e-05,9.46e-05,0.0094966,0.0154348,7.52e-05,0.0030352,0.005875,0.0007482,0.0351936,0.0684678
93.3049,7.96e-05,7.14e-05,0.0001148,4.4e-05,4.8e-05,0.0030602,0.0062986,9.7e-05,0.002778,0.0052904,0.000719,0.033777,0.0972172
93.9193,9.5e-05,8.5e-05,0.0001404,4.64e-05,5.34e-05,0.0032092,0.0060322,6.76e-05,0.0027322,0.0047994,0.0007204,0.0369742,0.0675612
94.7401,7.8e-05,8.1e-05,0.0001134,4.42e-05,4.76e-05,0.0031004,0.0107864,0.0001226,0.0063306,0.0071208,0.0007736,0.0505304,0.0845172
95.4644,7.22e-05,7.76e-05,0.0001208,4.48e-05,4.78e-05,0.0031958,0.006045,6.6e-05,0.002735,0.0053478,0.0007244,0.0395514,0.0864796
96.1904,7.56e-05,0.0001126,0.0002636,0.0001132,0.0001834,0.0093392,0.0181524,0.000146,0.0041896,0.006261,0.0008312,0.0349528,0.0700952
97.0189,8.6e-05,7.68e-05,0.0001278,5.1e-05,5.04e-05,0.0032164,0.0064378,6.62e-05,0.0026926,0.0050444,0.0007638,0.0395222,0.107191
97.7034,0.000112,9.46e-05,0.0001258,4.8e-05,5.06e-05,0.0039262,0.0069996,7.38e-05,0.0034288,0.0067254,0.0008194,0.041521,0.0725534
98.6219,9.34e-05,9.2e-05,0.0001632,5.3e-05,8.3e-05,0.0036452,0.0063024,6.66e-05,0.0031224,0.009182,0.0018438,0.0455106,0.113071
